condition_id,Model,param,mcmc_status,dgp_level,direction,T,rho,VARset,N_valid,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
6,Exponential (EG),phi22,Clean,Exponential,+-,100,0.3,A,200,-0.006858046051962583,0.98,0.0211917928419113,0.021353245211141327,0.02101349177434223,3.397534367990951e-4
6,Exponential (EG),rho,Clean,Exponential,+-,100,0.3,A,200,-1.880283772911656,0,0.5708511596347365,0.09126019609036441,0.08762996322938463,0.0036302328609797846
7,Normal (NG),sigma[1],Clean,Exponential,++,200,0.3,A,200,0.0021384455536297116,0.635,0.1024335301271024,0.05079436974907538,0.10241120614910341,-0.05161683640002804
7,Normal (NG),sigma[2],Clean,Exponential,++,200,0.3,A,200,-0.0036002012011643893,0.71,0.09305502162484568,0.050514261267721586,0.09298535153943135,-0.04247109027170977
7,Normal (NG),mu[1],Clean,Exponential,++,200,0.3,A,200,0.005736586607088014,0.925,0.078633252097619,0.07175501532237841,0.07842372032457451,-0.006668705002196101
7,Normal (NG),mu[2],Clean,Exponential,++,200,0.3,A,200,-1.9051343310716025e-4,0.96,0.06762921522738341,0.0715032718093397,0.0676289468859567,0.0038743249233829935
7,Normal (NG),phi11,Clean,Exponential,++,200,0.3,A,200,-0.024565930052948954,0.97,0.06492090820033619,0.06780576132197859,0.06417294394414096,0.0036328173778376327
7,Normal (NG),phi12,Clean,Exponential,++,200,0.3,A,200,-0.0753085895521632,0.965,0.06936824329439073,0.06895511320804266,0.06895824346041901,-3.13025237634601e-6
7,Normal (NG),phi21,Clean,Exponential,++,200,0.3,A,200,0.012767372999056927,0.94,0.06919392840096351,0.06808770859647499,0.06918214848806514,-0.0010944398915901515
7,Normal (NG),phi22,Clean,Exponential,++,200,0.3,A,200,-0.052843276945992425,0.93,0.06941286207552416,0.06803807716147692,0.0661162575662991,0.001921819595177815
7,Normal (NG),rho,Clean,Exponential,++,200,0.3,A,200,-0.15979241902242042,0.88,0.08698080852454533,0.06576504074803166,0.07257847825388947,-0.006813437505857806
