condition_id,model,param,T,tvp_pattern,margin_type,direction,VARset,N_valid,mean_bias,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,sd_bias,RMSE,mean_n_div,prop_div,mean_rhat
5,TVP_NG,sigma_z,100,step,normal,++,A,200,NA,NA,NA,0.03758301700082439,0.0221986320124759,0.01538438498834849,NA,NA,NA,1.002841085652277
5,TVP_NG,z0,100,step,normal,++,A,200,NA,NA,NA,0.2614096294785811,0.20817433142877959,0.05323529804980151,NA,NA,NA,1.002841085652277
6,Const_NG,mu[1],200,step,normal,++,A,200,0.004940096077158878,0.004940096077158878,0.935,0.07165463707495444,0.07554825513867662,-0.0038936180637221818,0.07552089584663073,NA,NA,1.0012556223483229
6,Const_NG,mu[2],200,step,normal,++,A,200,7.72166752425231e-4,7.72166752425231e-4,0.955,0.07135205817870073,0.07142544180523468,-7.338362653394603e-5,0.07125083866089683,NA,NA,1.0012556223483229
6,Const_NG,phi11,200,step,normal,++,A,200,-0.01734878207864275,-0.04337195519660687,0.935,0.07825448694180324,0.0781596756472877,9.481129451555104e-5,0.07987096132146529,NA,NA,1.0012556223483229
6,Const_NG,phi12,200,step,normal,++,A,200,-0.003987993276937114,-0.039879932769371136,0.955,0.07875301772718053,0.07500767865123284,0.003745339075947693,0.07492613154127385,NA,NA,1.0012556223483229
6,Const_NG,phi21,200,step,normal,++,A,200,-0.006624443879958442,-0.06624443879958442,0.95,0.07808721297585529,0.07841846637582588,-3.31253399970588e-4,0.0785021773335719,NA,NA,1.0012556223483229
6,Const_NG,phi22,200,step,normal,++,A,200,-0.018162695346264846,-0.045406738365662114,0.955,0.0782943906262801,0.07579355424786871,0.002500836378411392,0.07775489086506536,NA,NA,1.0012556223483229
6,Const_NG,rho,200,step,normal,++,A,200,-0.014504455449395746,-0.02637173718071954,0.95,0.05054242913565332,0.052046116382851164,-0.0015036872471978421,0.05390392812465626,NA,NA,1.0012556223483229
6,Const_NG,sigma[1],200,step,normal,++,A,200,1.9375628290524638e-4,1.9375628290524638e-4,0.96,0.05037114764754279,0.0490348376019678,0.0013363100455749885,0.048912480653257234,NA,NA,1.0012556223483229
