Model,param,mcmc_status,skew_level,direction,T,rho,VARset,N_valid,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
NG,phi21,Clean,strongSN,--,50,0.3,A,200,-0.15444208444723714,0.925,0.15391530715605067,0.14349419292706647,0.1531384935359407,-0.009644300608874223
NG,phi22,Clean,strongSN,--,50,0.3,A,200,-0.21927238196709756,0.91,0.1604370639871419,0.14000404100987673,0.13433983438224978,0.005664206627626955
NG,rho,Clean,strongSN,--,50,0.3,A,200,-0.15217631000228513,0.94,0.1390864859051997,0.12771104091138225,0.13138060710061158,-0.0036695661892293396
SG,omega[1],Clean,strongSN,--,50,0.3,A,69,-0.3117904536454716,0.4492753623188406,0.5381062655433578,0.1981119133512029,0.16622127618137625,0.03189063716982665
SG,omega[1],Problematic,strongSN,--,50,0.3,A,131,-0.23963631088754678,0.6641221374045801,0.44609617312186345,0.2249169561608224,0.21041844578329144,0.014498510377530971
SG,omega[2],Clean,strongSN,--,50,0.3,A,69,-0.30742606487732627,0.463768115942029,0.5348320837879814,0.20273616305686618,0.17719498992487293,0.02554117313199325
SG,omega[2],Problematic,strongSN,--,50,0.3,A,131,-0.19716903721328502,0.7557251908396947,0.40101429401763966,0.23069112618231313,0.23678476379760813,-0.0060936376152949945
SG,alpha[1],Clean,strongSN,--,50,0.3,A,69,0.8644875767812764,0.2463768115942029,7.878204240174891,2.296146823510221,1.2376031863111063,1.0585436371991148
SG,alpha[1],Problematic,strongSN,--,50,0.3,A,131,0.6471272098263398,0.5725190839694656,6.528580273104656,6.209284891407616,2.9498638444619374,3.259421046945679
SG,alpha[2],Clean,strongSN,--,50,0.3,A,69,0.870526369485096,0.2318840579710145,7.936441618479395,2.3308999923740816,1.2664898760159016,1.06441011635818
SG,alpha[2],Problematic,strongSN,--,50,0.3,A,131,0.5494070338615252,0.6641221374045801,6.121814307284957,7.6819849563895755,3.6092818143642864,4.072703142025289
SG,mu[1],Clean,strongSN,--,50,0.3,A,69,8.109813619526485e-4,0.927536231884058,0.16155280265985375,0.14134793665356957,0.16155076711821648,-0.02020283046464691
SG,mu[1],Problematic,strongSN,--,50,0.3,A,131,0.001841770355373035,0.9618320610687023,0.16254856842175514,0.14197985334643193,0.16253813391915167,-0.020558280572719745
SG,mu[2],Clean,strongSN,--,50,0.3,A,69,-0.023020618434799803,0.8840579710144928,0.1958012990859791,0.14410126748511007,0.19444330754910644,-0.05034204006399637
SG,mu[2],Problematic,strongSN,--,50,0.3,A,131,-0.013256166810808786,0.9465648854961832,0.1507339866059683,0.142827923204225,0.15014995424445604,-0.007322031040231047
SG,phi11,Clean,strongSN,--,50,0.3,A,69,-0.22223218555575677,0.9130434782608695,0.1566656076905745,0.13483312974992398,0.12900453304266044,0.005828596707263545
SG,phi11,Problematic,strongSN,--,50,0.3,A,131,-0.16157789772699901,0.9541984732824428,0.13600050156961033,0.12932141211541046,0.11966181388298162,0.009659598232428832
SG,phi12,Clean,strongSN,--,50,0.3,A,69,-0.13017891663089806,0.9855072463768116,0.1462628813765323,0.13582473610716445,0.1456824113104036,-0.009857675203239158
SG,phi12,Problematic,strongSN,--,50,0.3,A,131,-0.1105996520434932,0.9236641221374046,0.13227028617674103,0.1275392546095528,0.13180707786365478,-0.004267823254101993
SG,phi21,Clean,strongSN,--,50,0.3,A,69,-0.10314622430139596,0.9565217391304348,0.14079930132730845,0.1384211978836851,0.14042098069156853,-0.0019997828078834323
SG,phi21,Problematic,strongSN,--,50,0.3,A,131,-0.13242573231159463,0.9541984732824428,0.13134422384737524,0.12870534313594678,0.1306749378889724,-0.0019695947530256053
SG,phi22,Clean,strongSN,--,50,0.3,A,69,-0.2514118184405662,0.8840579710144928,0.16526340135511478,0.13735222347022308,0.1311439187885088,0.006208304681714266
SG,phi22,Problematic,strongSN,--,50,0.3,A,131,-0.14993779281872138,0.9618320610687023,0.13086935789038365,0.12629177259249058,0.11631755740293614,0.009974215189554436
SG,rho,Clean,strongSN,--,50,0.3,A,69,-0.22241180192159907,0.927536231884058,0.15053576645948552,0.12754681693691383,0.13494067628585396,-0.007393859348940129
SG,rho,Problematic,strongSN,--,50,0.3,A,131,-0.12319346534644493,0.9389312977099237,0.12950116528343392,0.12403421441584286,0.12411549104926972,-8.127663342685776e-5
NG,sigma[1],Clean,extremeCHI,--,50,0.3,A,200,-0.02413035807192473,0.655,0.21896416031124116,0.10253737240958061,0.2176304880298889,-0.1150931156203083
NG,sigma[2],Clean,extremeCHI,--,50,0.3,A,200,-0.0031111470641093306,0.52,0.27363716268187005,0.10434930441743728,0.2736194758501845,-0.1692701714327472
NG,mu[1],Clean,extremeCHI,--,50,0.3,A,200,0.015518534466333285,0.95,0.1412319279400747,0.14644943359318616,0.14037675219810322,0.006072681395082935
NG,mu[2],Clean,extremeCHI,--,50,0.3,A,200,0.017880311784782943,0.885,0.17185505301859427,0.14888738536831567,0.1709223616104774,-0.022034976242161747
NG,phi11,Clean,extremeCHI,--,50,0.3,A,200,-0.11387099576719746,0.975,0.12254833491364908,0.13764800987224754,0.113769230470219,0.023878779402028538
NG,phi12,Clean,extremeCHI,--,50,0.3,A,200,-0.1719356232720628,0.965,0.12793744814384683,0.1429289408475002,0.12677685929245908,0.016152081555041137
NG,phi21,Clean,extremeCHI,--,50,0.3,A,200,-0.05889597754936327,0.95,0.1439330680529263,0.1433854893066772,0.14381251933476918,-4.2703002809199586e-4
NG,phi22,Clean,extremeCHI,--,50,0.3,A,200,-0.1990170326404816,0.985,0.13955223899178754,0.13974283771875703,0.11461929472238686,0.02512354299637018
NG,rho,Clean,extremeCHI,--,50,0.3,A,200,-0.277727534056832,0.875,0.17407559500942624,0.1291772297886683,0.15284102947929196,-0.023663799690623655
SG,omega[1],Problematic,extremeCHI,--,50,0.3,A,200,NA,NA,NA,0.13670802172406293,0.24722342826277094,-0.110515406538708
SG,omega[2],Problematic,extremeCHI,--,50,0.3,A,200,NA,NA,NA,0.13763574323256272,0.3016420154607108,-0.16400627222814806
