model,condition_id,rep_id,param,post_mean,post_sd,l95,u95,truth,bias,rel_bias,cover95,n_div,max_rhat,status
EI,1,15,sigma_exp[2],1.3130350678848788,0.2237238844951266,0.954806040948341,1.8134450571847383,1,0.3130350678848788,0.3130350678848788,1,0,20.74369752489262,ok
EI,1,16,mu[1],-0.17352949147488372,0.12470124695133858,-0.4205086210247132,0.06764921091054679,0,-0.17352949147488372,-0.17352949147488372,1,0,16.245641438786755,ok
EI,1,16,mu[2],-0.2933800647533452,0.15136667187795602,-0.5749149936862512,0.017445942204740016,0,-0.2933800647533452,-0.2933800647533452,1,0,16.245641438786755,ok
EI,1,16,phi11,0.6335429285893933,0.09337624178392033,0.44613431592767705,0.8146363770272861,0.55,0.08354292858939327,0.15189623379889686,1,0,16.245641438786755,ok
EI,1,16,phi12,0.014953898587405968,0.13965061573379778,-0.2643758445051636,0.28349978938328896,0.1,-0.08504610141259404,-0.8504610141259403,1,0,16.245641438786755,ok
EI,1,16,phi21,0.1909553035925443,0.10113534226300164,-7.423069610651688e-4,0.39325288813405174,0.1,0.0909553035925443,0.909553035925443,1,0,16.245641438786755,ok
EI,1,16,phi22,0.22763268696534975,0.14304376609710215,-0.08420513190995373,0.48237341809189,0.25,-0.022367313034650255,-0.08946925213860102,1,0,16.245641438786755,ok
EI,1,16,rho,0.4423914124303672,0.780301932990646,-0.9505667688875588,0.9562047474985563,0.3,0.14239141243036724,0.47463804143455746,1,0,16.245641438786755,ok
EI,1,16,sigma_exp[1],1.2342972207414074,0.19710471412183603,0.9069151397558346,1.6684968680136683,1,0.23429722074140735,0.23429722074140735,1,0,16.245641438786755,ok
EI,1,16,sigma_exp[2],1.2459915175172582,0.22301879963185522,0.8971797655941746,1.7597442333256816,1,0.24599151751725823,0.24599151751725823,1,0,16.245641438786755,ok
EI,1,17,mu[1],-0.11990026651474178,0.10576348189256769,-0.33013795062218476,0.08841618044754279,0,-0.11990026651474178,-0.11990026651474178,1,1,1.0080349619111502,ok
EI,1,17,mu[2],0.019511489090592873,0.1375798604266883,-0.24854642795084764,0.29031453642703997,0,0.019511489090592873,0.019511489090592873,1,1,1.0080349619111502,ok
EI,1,17,phi11,0.6562051610648886,0.09648704090053788,0.4553077279909485,0.8377114371125468,0.55,0.10620516106488853,0.19310029284525185,1,1,1.0080349619111502,ok
EI,1,17,phi12,-0.05045783951208414,0.1533848279095467,-0.35897208413991577,0.2448557221513886,0.1,-0.15045783951208413,-1.5045783951208413,1,1,1.0080349619111502,ok
EI,1,17,phi21,0.059562748761931794,0.11310354544514117,-0.16702363055314906,0.27738770123207585,0.1,-0.04043725123806821,-0.4043725123806821,1,1,1.0080349619111502,ok
EI,1,17,phi22,-0.17020322266082502,0.16302793607429586,-0.4802191949091442,0.15488271127053796,0.25,-0.420203222660825,-1.6808128906433,0,1,1.0080349619111502,ok
EI,1,17,rho,0.9157583569105159,0.0382829247241086,0.8156009352364418,0.9618757209296718,0.3,0.6157583569105158,2.0525278563683864,0,1,1.0080349619111502,ok
EI,1,17,sigma_exp[1],1.1743319161089547,0.14585157320461273,0.9179989150259915,1.4815171928296595,1,0.1743319161089547,0.1743319161089547,1,1,1.0080349619111502,ok
EI,1,17,sigma_exp[2],1.2188630478252354,0.15665064784070945,0.9391289370128789,1.5489421805617454,1,0.21886304782523536,0.21886304782523536,1,1,1.0080349619111502,ok
EI,1,18,mu[1],-0.1061429379140515,0.11617014579449202,-0.3415906485797307,0.1138581031286797,0,-0.1061429379140515,-0.1061429379140515,1,0,1.007993385628655,ok
EI,1,18,mu[2],-0.2713102884185097,0.1240942616612677,-0.5143651906676646,-0.03396611851531768,0,-0.2713102884185097,-0.2713102884185097,0,0,1.007993385628655,ok
EI,1,18,phi11,0.5251593292803541,0.11444661762782919,0.3016843933420694,0.7484451148330143,0.55,-0.024840670719645908,-0.04516485585390165,1,0,1.007993385628655,ok
EI,1,18,phi12,0.1177737574065573,0.13467878357677807,-0.15551818715079005,0.37758250197504856,0.1,0.01777375740655729,0.1777375740655729,1,0,1.007993385628655,ok
